Title,Current Price,Original Price,Old Price,Product URL,Ratings,Number of Reviews,Last Seen,Price Dropped?
"Lenovo Lenovo V15 G3 IAP Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 82TTA07RIH Thin and Light Laptop  (15.6 Inch, Iron Grey, 1.7 Kg, With MS Office)",42990,92820,42990,https://www.flipkart.com/lenovo-v15-g3-iap-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-82tta07rih-thin-light-laptop/p/itm575eadcc5ae49?pid=COMH6XHKJSQN4CT3&lid=LSTCOMH6XHKJSQN4CT3RC59SI&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_8_184&otracker=search&otracker1=search&fm=organic&iid=3a96f5fb-fad5-455c-991a-d7ba94586d56.COMH6XHKJSQN4CT3.SEARCH&ppt=None&ppn=None&ssid=bul9vbfyyo0000001750792615936&qH=312f91285e048e09,4.1,19,2025-06-25,No
"CHUWI Intel Core i3 12th Gen Intel Core i3-1215U - (12 GB/512 GB SSD/Windows 11 Home) FreeBook 2 in 1 Laptop  (13.5 inch, Grey, 1.7 kg)",35990,49990,39990,https://www.flipkart.com/chuwi-intel-core-i3-12th-gen-i3-1215u-12-gb-512-gb-ssd-windows-11-home-freebook-2-1-laptop/p/itmc5e3f409e7e39?pid=COMGQJZPSGFFF7V7&lid=LSTCOMGQJZPSGFFF7V7T2BU4F&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_8_185&otracker=search&otracker1=search&fm=organic&iid=3a96f5fb-fad5-455c-991a-d7ba94586d56.COMGQJZPSGFFF7V7.SEARCH&ppt=None&ppn=None&ssid=bul9vbfyyo0000001750792615936&qH=312f91285e048e09,4,40,2025-06-25,Yes
"Lenovo IdeaPad Slim 5 WUXGA OLED AI PC Intel Core Ultra 5 125H - (16 GB/1 TB SSD/Windows 11 Home) 14IMH9 Laptop  (14 Inch, Cloud Grey, 1.46 Kg, With MS Office)",77190,101090,77190,https://www.flipkart.com/lenovo-ideapad-slim-5-wuxga-oled-ai-pc-intel-core-ultra-125h-16-gb-1-tb-ssd-windows-11-home-14imh9-laptop/p/itm089031723a8df?pid=COMGXAU9B7GGGZH4&lid=LSTCOMGXAU9B7GGGZH4QBWTKF&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_8_187&otracker=search&otracker1=search&fm=organic&iid=en_0yHRmRKGIWoBtLl33JKpU-vJpzxtss0fjbAGxTaZVHqAF9FGwCXlTfBz7HlcP-2dYhmeQnVAwgNyUbj2xTu85w891ypMzu4_aryI8_sihJ8%3D&ppt=None&ppn=None&ssid=bul9vbfyyo0000001750792615936&qH=312f91285e048e09,4.1,39,2025-06-25,No
,,,79590,https://www.flipkart.com/asus-vivobook-s14-2025-office-2024-m365-basic-metallic-design-ai-pc-intel-core-ultra-5-225h-16-gb-512-gb-ssd-windows-11-home-s3407ca-ly060ws-thin-light-laptop/p/itm100d2f392a6d0?pid=COMH9SJ9HH7GTBGH&lid=LSTCOMH9SJ9HH7GTBGH9XOGSK&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_8_188&otracker=search&otracker1=search&fm=organic&iid=en_0yHRmRKGIWoBtLl33JKpU-vJpzxtss0fjbAGxTaZVHr1oQ7nLpjgUk6NxV61x8_a-FhdgCOg7WvGhuBbPXz7cX3Gaq_wzx4HJysDmGalzMk%3D&ppt=None&ppn=None&ssid=bul9vbfyyo0000001750792615936&qH=312f91285e048e09,,,2025-06-25,No
"DELL Latitude 3540 Intel Core i3 12th Gen - (8 GB/512 GB SSD/Ubuntu) Latitude 3540 Laptop  (15.6 inch, Smoky Black)",31990,48890,41990,https://www.flipkart.com/dell-latitude-3540-intel-core-i3-12th-gen-8-gb-512-gb-ssd-ubuntu-laptop/p/itm7f265faf0871e?pid=COMHFMSGDYGUZMJH&lid=LSTCOMHFMSGDYGUZMJH8WYAA4&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_8_190&otracker=search&otracker1=search&fm=organic&iid=3a96f5fb-fad5-455c-991a-d7ba94586d56.COMHFMSGDYGUZMJH.SEARCH&ppt=None&ppn=None&ssid=bul9vbfyyo0000001750792615936&qH=312f91285e048e09,4,8,2025-06-25,Yes
,,,20000,https://www.flipkart.com/asus-chromebook-intel-celeron-dual-core-n4500-4-gb-64-gb-emmc-storage-chrome-os-cx1400cka-nk0453/p/itm3cc0cadd59faf?pid=COMGSHM3RGXQ6ZVX&lid=LSTCOMGSHM3RGXQ6ZVXMNXMLN&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_8_191&otracker=search&otracker1=search&fm=organic&iid=en_0yHRmRKGIWoBtLl33JKpU-vJpzxtss0fjbAGxTaZVHr30uVo-eSwxRptmPqnQts1Uht342jLm_6GOldjibwkB_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=bul9vbfyyo0000001750792615936&qH=312f91285e048e09,,,2025-06-25,No
"ASUS Chromebook Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1500CKA-NJ0393 Chromebook  (15.6 Inch, Transparent Silver, 1.80 Kg)",14990,32990,14990,https://www.flipkart.com/asus-chromebook-intel-celeron-dual-core-n4500-4-gb-64-gb-emmc-storage-chrome-os-cx1500cka-nj0393/p/itmc1d20ec9ce589?pid=COMGSHM3XESWZ6AT&lid=LSTCOMGSHM3XESWZ6ATVEMMNA&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_8_192&otracker=search&otracker1=search&fm=organic&iid=en_0yHRmRKGIWoBtLl33JKpU-vJpzxtss0fjbAGxTaZVHrjcSwI6933fx1WT6TPmd5jbNvRnvJ_kkXDEwjYojDHwPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=bul9vbfyyo0000001750792615936&qH=312f91285e048e09,3.8,231,2025-06-25,No
"ASUS Vivobook Go 15 Intel Celeron Dual Core N4020 - (8 GB/512 GB SSD/Windows 11 Home) E510MA-EJ021WS Thin and Light Laptop  (15.6 Inch, Star Black, 1.57 kg, With MS Office)",26990,38990,28990,https://www.flipkart.com/asus-vivobook-go-15-intel-celeron-dual-core-n4020-8-gb-512-gb-ssd-windows-11-home-e510ma-ej021ws-thin-light-laptop/p/itmb3ef24bd3345c?pid=COMGZKHQVQ8S8KQM&lid=LSTCOMGZKHQVQ8S8KQMEMSETS&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_9_193&otracker=search&otracker1=search&fm=organic&iid=dd2a49bb-b58d-4c4b-a747-526a8df30c7e.COMGZKHQVQ8S8KQM.SEARCH&ppt=None&ppn=None&ssid=50g7dd2q9c0000001750792616485&qH=312f91285e048e09,4,81,2025-06-25,No
,,,30250,https://www.flipkart.com/lenovo-v15-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-g3-iap-thin-light-laptop/p/itmf6172499e1c65?pid=COMGZ3SPQHTUNRKG&lid=LSTCOMGZ3SPQHTUNRKGCSMFCV&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_9_194&otracker=search&otracker1=search&fm=organic&iid=dd2a49bb-b58d-4c4b-a747-526a8df30c7e.COMGZ3SPQHTUNRKG.SEARCH&ppt=None&ppn=None&ssid=50g7dd2q9c0000001750792616485&qH=312f91285e048e09,,,2025-06-25,No
"Lenovo IdeaPad Flex 5 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 14IRU8 2 in 1 Laptop  (14 inch, Arctic Grey, 1.50 Kg, With MS Office)",50990,83890,50990,https://www.flipkart.com/lenovo-ideapad-flex-5-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-14iru8-2-1-laptop/p/itmd4a374447028a?pid=COMGSC4EUJHDCX7Y&lid=LSTCOMGSC4EUJHDCX7YFIZT1S&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_9_195&otracker=search&otracker1=search&fm=organic&iid=dd2a49bb-b58d-4c4b-a747-526a8df30c7e.COMGSC4EUJHDCX7Y.SEARCH&ppt=None&ppn=None&ssid=50g7dd2q9c0000001750792616485&qH=312f91285e048e09,4.3,9,2025-06-25,No
